Dataset,Miss_Rate,Variant,Seed,Accuracy_Mean5,Accuracy_Std5,Accuracy_Final,Run_Code,Log_File
FingerMovements,0.9,baseline,42,50.999999046325684,0.0,50.999999046325684,t1763208016,run_models_seed42_t1763208016.log
FingerMovements,0.9,baseline,42,50.999999046325684,0.0,50.999999046325684,t1763284521,run_models_seed42_t1763284521.log
FingerMovements,0.9,baseline,777,54.00000214576721,0.0,54.00000214576721,t1763096588,run_models_seed777_t1763096588.log
FingerMovements,0.9,baseline,777,51.99999809265137,0.0,51.99999809265137,t1763098235,run_models_seed777_t1763098235.log
FingerMovements,0.9,baseline,777,54.00000214576721,0.0,54.00000214576721,t1763133887,run_models_seed777_t1763133887.log
FingerMovements,0.9,baseline,777,49.000000953674316,0.0,49.000000953674316,t1763133993,run_models_seed777_t1763133993.log
FingerMovements,0.9,baseline,777,54.00000214576721,0.0,54.00000214576721,t1763208608,run_models_seed777_t1763208608.log
FingerMovements,0.9,baseline,777,46.00000083446503,0.0,46.00000083446503,t1763285085,run_models_seed777_t1763285085.log
FingerMovements,0.9,baseline,2023,56.99999928474426,0.0,56.99999928474426,t1763096300,run_models_seed2023_t1763096300.log
FingerMovements,0.9,baseline,2023,57.999998331069946,0.0,57.999998331069946,t1763097953,run_models_seed2023_t1763097953.log
FingerMovements,0.9,baseline,2023,50.999999046325684,0.0,50.999999046325684,t1763133601,run_models_seed2023_t1763133601.log
FingerMovements,0.9,baseline,2023,56.99999928474426,0.0,56.99999928474426,t1763133709,run_models_seed2023_t1763133709.log
FingerMovements,0.9,baseline,2023,50.0,0.0,50.0,t1763208313,run_models_seed2023_t1763208313.log
FingerMovements,0.9,baseline,2023,58.99999737739563,0.0,58.99999737739563,t1763284800,run_models_seed2023_t1763284800.log
FingerMovements,0.9,baseline,9999,51.99999809265137,0.0,51.99999809265137,t1763096879,run_models_seed9999_t1763096879.log
FingerMovements,0.9,baseline,9999,50.999999046325684,0.0,50.999999046325684,t1763098513,run_models_seed9999_t1763098513.log
FingerMovements,0.9,baseline,9999,54.00000214576721,0.0,54.00000214576721,t1763134172,run_models_seed9999_t1763134172.log
FingerMovements,0.9,baseline,9999,51.99999809265137,0.0,51.99999809265137,t1763134281,run_models_seed9999_t1763134281.log
FingerMovements,0.9,baseline,9999,51.599998474121094,0.48989748135354444,50.999999046325684,t1763208894,run_models_seed9999_t1763208894.log
FingerMovements,0.9,baseline,9999,56.00000023841858,0.0,56.00000023841858,t1763285370,run_models_seed9999_t1763285370.log
FingerMovements,0.9,pyramidal_latent,42,55.000001192092896,0.0,55.000001192092896,t1763995505,run_models_seed42_t1763995505.log
FingerMovements,0.9,pyramidal_latent,42,56.00000023841858,0.0,56.00000023841858,t1764007441,run_models_seed42_t1764007441.log
FingerMovements,0.9,pyramidal_latent,777,58.99999737739563,0.0,58.99999737739563,t1763995888,run_models_seed777_t1763995888.log
FingerMovements,0.9,pyramidal_latent,777,58.99999737739563,0.0,58.99999737739563,t1764009314,run_models_seed777_t1764009314.log
FingerMovements,0.9,pyramidal_latent,9999,56.00000023841858,0.0,56.00000023841858,t1763996295,run_models_seed9999_t1763996295.log
FingerMovements,0.9,pyramidal_latent,9999,56.00000023841858,0.0,56.00000023841858,t1764011183,run_models_seed9999_t1764011183.log
FingerMovements,0.9,tvf_lstm_latent,42,52.99999713897705,0.0,52.99999713897705,t1764007184,run_models_seed42_t1764007184.log
FingerMovements,0.9,tvf_lstm_latent,777,57.999998331069946,0.0,57.999998331069946,t1764008944,run_models_seed777_t1764008944.log
FingerMovements,0.9,tvf_lstm_latent,9999,56.99999928474426,0.0,56.99999928474426,t1764010706,run_models_seed9999_t1764010706.log
FingerMovements,0.9,tvf_transformer_latent,42,50.999999046325684,0.0,50.999999046325684,t1764055056,run_models_seed42_t1764055056.log
FingerMovements,0.9,tvf_transformer_latent,777,57.999998331069946,0.0,57.999998331069946,t1764056821,run_models_seed777_t1764056821.log
FingerMovements,0.9,tvf_transformer_latent,9999,51.99999809265137,0.0,51.99999809265137,t1764058555,run_models_seed9999_t1764058555.log
FingerMovements,0.9,channel_latent,42,62.99999952316284,0.0,62.99999952316284,t1763823636,run_models_seed42_t1763823636.log
FingerMovements,0.9,channel_latent,777,57.999998331069946,0.0,57.999998331069946,t1763824232,run_models_seed777_t1763824232.log
FingerMovements,0.9,channel_latent,2023,56.00000023841858,0.0,56.00000023841858,t1763823933,run_models_seed2023_t1763823933.log
FingerMovements,0.9,channel_latent,9999,56.99999928474426,0.0,56.99999928474426,t1763824530,run_models_seed9999_t1763824530.log
NATOPS,0.0,baseline,42,93.66666674613953,0.5665575730713871,93.88889074325562,t1763051757,run_models_seed42_t1763051757.log
NATOPS,0.0,baseline,42,94.9999988079071,0.0,94.9999988079071,t1763052318,run_models_seed42_t1763052318.log
NATOPS,0.0,baseline,42,83.99999976158142,0.4157407999623284,83.88888835906982,t1763053313,run_models_seed42_t1763053313.log
NATOPS,0.0,baseline,777,93.66666674613953,1.7427099205226577,90.55555462837219,t1763052135,run_models_seed777_t1763052135.log
NATOPS,0.0,baseline,777,92.22221970558167,0.0,92.22221970558167,t1763052706,run_models_seed777_t1763052706.log
NATOPS,0.0,baseline,777,93.22222232818604,0.6478852430139136,93.33333373069763,t1763053697,run_models_seed777_t1763053697.log
NATOPS,0.0,baseline,1991,95.66666722297668,0.22222280502319336,95.55555582046509,t1763051569,run_models_seed1991_t1763051569.log
NATOPS,0.0,baseline,1991,93.22222232818604,0.22222280502319336,93.33333373069763,t1763052124,run_models_seed1991_t1763052124.log
NATOPS,0.0,baseline,1991,83.33333373069763,0.49690263258322215,82.77778029441833,t1763053121,run_models_seed1991_t1763053121.log
NATOPS,0.0,baseline,2023,90.66666603088379,0.9558129608336003,92.22221970558167,t1763051947,run_models_seed2023_t1763051947.log
NATOPS,0.0,baseline,2023,93.11111092567444,0.4444456100463867,93.33333373069763,t1763052513,run_models_seed2023_t1763052513.log
