Dataset,Miss_Rate,baseline_Mean,baseline_Std,baseline_N,pyramidal_latent_Mean,pyramidal_latent_Std,pyramidal_latent_N,pyramidal_latent_Imp_Abs,pyramidal_latent_Imp_Pct,tvf_lstm_latent_Mean,tvf_lstm_latent_Std,tvf_lstm_latent_N,tvf_lstm_latent_Imp_Abs,tvf_lstm_latent_Imp_Pct,tvf_transformer_latent_Mean,tvf_transformer_latent_Std,tvf_transformer_latent_N,tvf_transformer_latent_Imp_Abs,tvf_transformer_latent_Imp_Pct,channel_latent_Mean,channel_latent_Std,channel_latent_N,channel_latent_Imp_Abs,channel_latent_Imp_Pct
Epilepsy,0.0,54.251206715901695,3.4913861019434425,15,55.45893589655558,3.628658450457095,3,1.2077291806538852,2.22617938616264,55.26569962501526,0.2977982226087769,3,1.0144929091135637,1.869991416829081,57.05313960711161,1.3715056585447565,3,2.8019328912099155,5.164738373254718,55.39854943752289,3.025090388709421,4,1.147342721621193,2.114870416854512
Epilepsy,0.3,42.17391289770603,4.07132042991734,24,43.623188535372414,2.1593721011681315,3,1.449275637666382,3.436426781602265,43.42995226383209,4.240764609511851,3,1.2560393661260605,2.9782376825518138,43.42995285987854,0.9191447903987471,3,1.2560399621725082,2.9782390958578286,47.89855122566223,2.2463762760162354,4,5.7246383279562,13.573884742071396
Epilepsy,0.6,36.06280192732811,3.3158715967554393,24,40.53140123685201,4.431297791908837,3,4.468599309523903,12.391159507042167,43.81642619768778,1.9812654668251737,3,7.753624270359673,21.500337899380018,35.265700817108154,2.8408093442884543,3,-0.7971011102199554,-2.210313862539667,40.94202846288681,1.654016351140515,4,4.879226535558701,13.529804326882488
Epilepsy,0.9,27.675120532512665,3.5513357691996887,24,26.95652147134145,2.266930793390227,3,-0.718599061171215,-2.596552597944448,29.227052927017212,1.167444451244573,3,1.5519323945045471,5.607680706146666,28.840579986572266,2.0289862155914307,2,1.1654594540596008,4.211217265306656,31.775362119078636,9.592284701964605,4,4.100241586565971,14.815623230074165
AtrialFibrillation,0.0,36.47619140999658,3.5850533038275474,14,39.111111760139465,1.6629587394461254,3,2.6349203501428846,7.223671793269417,32.000001072883606,0.0,1,-4.476190337112975,-12.271539774534247,38.66666913032532,7.85045444534665,3,2.1904777203287367,6.00522597249125,41.66666783392429,9.539392046972864,4,5.190476423927713,14.229765288777443
AtrialFibrillation,0.3,29.66666756818692,10.854253506028344,24,24.44444517294566,9.87827147726988,3,-5.2222223952412605,-17.60299630296635,,,0,,,31.555557250976562,3.4995593007142376,3,1.8888896827896424,6.367043681088047,31.33333407342434,6.96020453100396,4,1.6666665052374192,5.617976813225463
AtrialFibrillation,0.6,29.611111854513485,9.20530580222271,24,26.666667064030964,9.42809055631013,3,-2.944444790482521,-9.943715740730326,,,0,,,24.444446166356403,10.573669659562066,3,-5.166665688157082,-17.448401510696907,32.22222303350767,5.9835166030236,6,2.6111111789941823,8.818011264903527
AtrialFibrillation,0.9,35.55555666486422,8.72346079093437,24,25.33333420753479,16.970563001358233,3,-10.22222245732943,-28.749999764258977,,,0,,,25.777779420216877,9.13006176447769,3,-9.777777244647343,-27.499997642589808,34.66666758060455,5.249338269789579,4,-0.8888890842596666,-2.500000471482032
SelfRegulationSCP2,0.0,49.79629635810852,1.8211345772084437,12,50.074074268341064,1.1523222337396062,3,0.27777791023254395,0.5578284542185883,48.88889034589132,1.2472192669848305,3,-0.9074060122172014,-1.8222359464077793,49.55555617809296,0.0,1,-0.24074018001556396,-0.48344997042408216,47.777777165174484,2.1559567362107575,4,-2.0185191929340363,-4.053552855453181
SelfRegulationSCP2,0.3,48.29629632333914,3.624004007437452,24,49.518518249193825,2.0006859431968227,3,1.222221925854683,2.530674231564306,49.703703920046486,3.328802410553389,3,1.407407596707344,2.914110819771527,46.81481599807739,1.4971390234463189,3,-1.4814803252617494,-3.0674822668458437,46.74999952316284,4.308601146603029,4,-1.5462968001763002,-3.2016881580815006
