Dataset,Miss_Rate,baseline_Mean,baseline_Std,baseline_N,pyramidal_latent_Mean,pyramidal_latent_Std,pyramidal_latent_N,pyramidal_latent_Imp_Abs,pyramidal_latent_Imp_Pct,tvf_lstm_latent_Mean,tvf_lstm_latent_Std,tvf_lstm_latent_N,tvf_lstm_latent_Imp_Abs,tvf_lstm_latent_Imp_Pct,tvf_transformer_latent_Mean,tvf_transformer_latent_Std,tvf_transformer_latent_N,tvf_transformer_latent_Imp_Abs,tvf_transformer_latent_Imp_Pct,channel_latent_Mean,channel_latent_Std,channel_latent_N,channel_latent_Imp_Abs,channel_latent_Imp_Pct
Earthquakes,0.9,64.17266170183818,2.511468356427527,3,74.82014298439026,0.0,1,10.647481282552079,16.59192715431202,74.82014298439026,0.0,3,10.647481282552079,16.59192715431202,46.63414716720581,0.0,1,-17.53851453463237,-27.330196487907234,67.15827256441116,7.645810150391801,4,2.985610862572983,4.652465369825018
ProximalPhalanxOutlineCorrect,0.0,70.8247423171997,0.7918709756522816,4,69.48453625043233,1.2307330194454742,3,-1.3402060667673794,-1.8922851293479566,76.49484515190125,0.2915904426117097,3,5.670102834701538,8.005822046350827,69.5761748154958,2.485866382442335,3,-1.2485675017039028,-1.762897344704761,74.38144326210022,1.9909782224980297,4,3.5567009449005127,5.021833936184716
ProximalPhalanxOutlineCorrect,0.3,66.68384850025177,1.4509500833791862,4,63.757161696751915,1.7677478247329934,3,-2.926686803499855,-4.388899065249369,70.99656422932942,2.94652316551134,3,4.312715729077652,6.467406765015024,70.76746821403503,1.494570848953849,3,4.083619713783264,6.123851285769516,69.82817888259888,1.333581287121891,4,3.144330382347107,4.715280316095186
ProximalPhalanxOutlineCorrect,0.6,64.65635657310486,1.152485053612386,4,61.85567180315653,3.0551362732367684,3,-2.800684769948326,-4.331646443426922,63.6884335676829,0.45358530689092863,3,-0.9679230054219587,-1.4970268303435246,68.04123799006145,0.7359627207616625,3,3.3848814169565884,5.235187375783249,67.31958776712418,1.2394967291466952,4,2.6632311940193176,4.119055472926452
ProximalPhalanxOutlineCorrect,0.9,61.855670511722565,1.4276688871505938,4,63.45933715502421,2.2265870661993445,3,1.6036666433016435,2.5925943895438412,66.52921080589294,1.5378402886679134,3,4.67354029417038,7.555556758995402,68.04123679796855,0.3887875377949076,3,6.185566286245987,9.999998763369206,67.78350472450256,1.0438759527659356,4,5.927834212779999,9.583331914018435
SonyAIBORobotSurface2,0.0,69.72193092107773,1.4602030864624176,4,70.64008037249248,0.7985858237043434,3,0.9181494514147488,1.316873241009425,74.27072008450826,1.09812967543468,3,4.548789163430527,6.5241870145271275,74.8373516400655,3.267947963946463,3,5.115420718987778,7.33688905543683,72.49737620353699,1.8289776205295045,4,2.775445282459259,3.9807349650154493
SonyAIBORobotSurface2,0.3,60.42497396469116,3.4389262472303104,4,59.40538247426351,3.7971335671664748,3,-1.0195914904276506,-1.687367695058405,65.28156240781148,2.493190063604891,3,4.856588443120316,8.037386074768065,59.3144420782725,3.1429278090875687,3,-1.1105318864186629,-1.8378690358519527,62.471143305301666,5.6088455397329255,4,2.046169340610504,3.386297430274718
SonyAIBORobotSurface2,0.6,55.79748183488846,1.8236632964253714,4,52.95557578404745,1.1044400167239952,3,-2.841906050841011,-5.093251446813599,59.09058849016825,3.3413971331834285,3,3.293106655279793,5.9018911731975585,55.38999358812968,1.8204034770479638,3,-0.40748824675878126,-0.7302986324088757,56.904511749744415,0.9990595594879891,4,1.107029914855957,1.9840141139913683
SonyAIBORobotSurface2,0.9,54.2444908618927,2.1723861443166244,4,50.48618137836456,0.9790137635701328,3,-3.758309483528137,-6.928463008523483,54.746411641438804,1.1244630748666493,3,0.5019207795461043,0.9252935580573558,53.38229795296987,2.9348067225534233,3,-0.8621929089228288,-1.5894570955011547,56.15949600934982,1.4013012907708573,4,1.9150051474571228,3.530321912934449
Strawberry,0.0,58.945946395397186,3.5092492128965525,4,60.522523522377014,5.376559668043773,3,1.5765771269798279,2.674615004744305,76.43243432044983,1.2935371698992553,3,17.486487925052643,29.66529336513983,61.18919014930725,4.433750682657507,3,2.2432437539100647,3.805594601642072,71.10810875892639,4.645583078410713,4,12.162162363529205,20.632737460771164
